Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
686b791f7009a631eddd9768,669ebc5c010532855cfa0d7a,APPROVED,Not Applicable,2025-07-07T07:37:13.340000Z,2025-07-07T07:42:56.696000Z,2025-07-07T07:42:57.648000Z,2025-07-07T07:42:57.140040Z,344.0,CP2ZDXDH,467,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b79205a4551715f43c6e5,5bf1fca17c3874000169ec57,APPROVED,Not Applicable,2025-07-07T07:37:10.235000Z,2025-07-07T07:42:11.677000Z,2025-07-07T07:42:13.928000Z,2025-07-07T07:42:12.068893Z,302.0,CP2ZDXDH,479,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
686b792113636f2a22e86219,6415cfa5324b6e802473285c,APPROVED,Not Applicable,2025-07-07T07:37:13.423000Z,2025-07-07T07:43:13.535000Z,2025-07-07T07:43:29.138000Z,2025-07-07T07:43:13.942716Z,361.0,CP2ZDXDH,1153,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
686b79214983bf90bffb8346,6761f75300af0601c94fb5fa,APPROVED,Not Applicable,2025-07-07T07:37:11.029000Z,2025-07-07T07:49:24.454000Z,2025-07-07T07:49:25.154000Z,2025-07-07T07:49:24.946515Z,734.0,CP2ZDXDH,242,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b79216cbf30bea2bf3965,67366d50b1a10d4f69e6a1ac,APPROVED,Not Applicable,2025-07-07T07:37:13.120000Z,2025-07-07T07:40:56.218000Z,2025-07-07T07:41:01.810000Z,2025-07-07T07:40:56.649260Z,224.0,CP2ZDXDH,569,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
686b79218ce3ae2518871873,5dc2d4377624401eb1894bcd,APPROVED,Not Applicable,2025-07-07T07:37:22.151000Z,2025-07-07T07:41:45.431000Z,2025-07-07T07:41:56.032000Z,2025-07-07T07:41:45.870917Z,264.0,CP2ZDXDH,2226,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b79228dbe1c9b0f5710fc,636cc5fa559ec4d93e272972,APPROVED,Not Applicable,2025-07-07T07:37:15.143000Z,2025-07-07T07:41:59.358000Z,2025-07-07T07:42:30.154000Z,2025-07-07T07:41:59.753281Z,285.0,CP2ZDXDH,2146,55,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
686b7922a934a48fe95f23a5,615d886d49b254264bd724a6,APPROVED,Not Applicable,2025-07-07T07:37:06.886000Z,2025-07-07T07:44:58.193000Z,2025-07-07T07:45:08.811000Z,2025-07-07T07:44:58.645635Z,472.0,CP2ZDXDH,1292,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b792356f7f90a15c4e610,62d13582584ecb519db9ec60,APPROVED,Not Applicable,2025-07-07T07:37:11.332000Z,2025-07-07T07:40:54.303000Z,2025-07-07T07:40:56.007000Z,2025-07-07T07:40:54.906888Z,223.0,CP2ZDXDH,1351,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b7923a8ee3e7747dd1a64,5466464dfdf99b7fec4402b0,APPROVED,Not Applicable,2025-07-07T07:37:12.843000Z,2025-07-07T07:43:34.382000Z,2025-07-07T07:43:45.064000Z,2025-07-07T07:43:34.915388Z,382.0,CP2ZDXDH,2977,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
686b7924066064bc540a52b8,651c1d7524852e9f9d614ce3,APPROVED,Not Applicable,2025-07-07T07:37:12.630000Z,2025-07-07T07:40:27.792000Z,2025-07-07T07:40:30.332000Z,2025-07-07T07:40:28.258024Z,196.0,CP2ZDXDH,1689,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b7924ade9f068523fab1a,666db5a67ea03007602517bf,APPROVED,Not Applicable,2025-07-07T07:37:54.494000Z,2025-07-07T07:41:04.980000Z,2025-07-07T07:41:40.675000Z,2025-07-07T07:41:05.392526Z,191.0,CP2ZDXDH,231,31,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b7924d931eb4e7b520671,602ac80c6cf22516282a7fd3,APPROVED,Not Applicable,2025-07-07T07:38:13.683000Z,2025-07-07T07:40:29.396000Z,2025-07-21T15:20:46.814000Z,2025-07-07T07:40:29.800083Z,136.0,CP2ZDXDH,2453,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
686b79252582b7b61011ad0d,6483825404dd52c9b6558951,APPROVED,Not Applicable,2025-07-07T07:37:09.719000Z,2025-07-07T07:43:12.121000Z,2025-07-07T07:43:15.089000Z,2025-07-07T07:43:12.559280Z,363.0,CP2ZDXDH,2116,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
686b7925b77138e397f74ee2,67d1509d2f6eaf6999ddc061,APPROVED,Not Applicable,2025-07-07T07:42:35.567000Z,2025-07-07T07:50:35.439000Z,2025-07-07T07:50:41.002000Z,2025-07-07T07:50:35.867421Z,480.0,CP2ZDXDH,302,33,Male,Black,United Kingdom,United Kingdom,Nigeria,English,No,Full-Time
